fpub;medio;pollster;mpolls;inicampo;fincampo;modo;muestra;pp;podemos;psoe;cs;vox
22/02/2019;La Sexta;Invymark;Invymark (La Sexta);;22/02/2019;Telefónica;;21;13,9;24,3;20,2;11,3
18/02/2019;La Razón;NC Report;NC Report (La Razón);;15/02/2019;Telefónica;1000;23,6;16;24,1;18,9;10
17/02/2019;El Español;Sociométrica;Sociométrica (El Español);;15/02/2019;Telefónica + Online;1000;24,3;18,7;18,6;15,2;11,8
17/02/2019;La Vanguardia;GAD3;GAD3 (La Vanguardia);;15/02/2019;Telefónica;1200;28,2;17,1;23,6;12,4;8,8
17/02/2019;El Periódico;GESOP;GESOP (El Periódico);;15/02/2019;Telefónica;1000;27,4;14,5;19,9;13,6;13
18/02/2019;Henneo;Metroscopia;Metroscopia (Henneo);;13/02/2019;Telefónica;1995;20,5;13,8;27,6;15,4;12,7
11/02/2019;Simple Lógica;Simple Lógica;Simple Lógica;;08/02/2019;Telefónica;1017;25,4;17;17,9;13,9;11,7
12/02/2019;eldiario.es;Celeste Tel;Celeste Tel (eldiario.es);;07/02/2019;Telefónica;1100;23,7;15,8;23,1;19,2;8,9
02/02/2019;La Sexta;Invymark;Invymark (La Sexta);;28/01/2019;Telefónica;;23,9;20,9;21,3;13,5;11,2
28/01/2019;La Razón;NC Report;NC Report (La Razón);21/01/2019;25/01/2019;Telefónica;1000;24;16,6;24,2;18,7;9,4
28/01/2019;ABC;GAD3;GAD3 (ABC);14/01/2019;24/01/2019;Telefónica;1800;23;11,6;26,5;17,1;9,8
20/01/2019;La Sexta;Invymark;Invymark (La Sexta);14/01/2019;19/01/2019;Telefónica;;21,5;14,4;23,2;23;8,9
23/01/2019;Henneo;Metroscopia;Metroscopia (Henneo);09/01/2019;15/01/2019;Telefónica;2332;19,1;17,1;23,7;17,8;12,1
11/01/2018;Simple Lógica;Simple Lógica;Simple Lógica;03/01/2019;09/01/2019;Telefónica;1042;18,2;14;25,1;17,9;11,5
10/01/2019;eldiario.es;Celeste Tel;Celeste Tel (eldiario.es);02/01/2019;08/01/2019;Telefónica;1100;23,8;16,1;24,1;19,6;8,1
